3.48637E+01,3.55871E+00,-5.57229E-01,0.00000E+00,0,0
2.75853E+01,3.76433E+00,-1.11210E+00,0.00000E+00,0,0
2.18265E+01,4.10044E+00,-1.58359E+00,0.00000E+00,0,0
1.72698E+01,4.55024E+00,-1.88474E+00,0.00000E+00,0,0
1.36645E+01,5.07211E+00,-2.03843E+00,0.00000E+00,0,0
1.08118E+01,5.51816E+00,-2.03278E+00,0.00000E+00,0,0
8.55467E+00,6.12535E+00,-1.87372E+00,0.00000E+00,0,0
6.76875E+00,6.49774E+00,-1.72747E+00,0.00000E+00,0,0
5.35567E+00,6.79734E+00,-1.52995E+00,0.00000E+00,0,0
4.23759E+00,6.73983E+00,-1.34478E+00,0.00000E+00,0,0
3.35292E+00,7.17550E+00,-1.05596E+00,0.00000E+00,0,0
2.65295E+00,7.30405E+00,-8.12463E-01,0.00000E+00,0,0
2.09910E+00,7.38635E+00,-6.73713E-01,0.00000E+00,0,0
1.66088E+00,7.49703E+00,-5.74366E-01,0.00000E+00,0,0
1.31415E+00,7.56908E+00,-4.28504E-01,0.00000E+00,0,0
1.03980E+00,7.62358E+00,-2.99763E-01,0.00000E+00,0,0
8.22724E-01,7.64557E+00,-2.63682E-01,0.00000E+00,0,0
6.50968E-01,7.69978E+00,-2.39998E-01,0.00000E+00,0,0
5.15068E-01,7.74769E+00,-1.66544E-01,0.00000E+00,0,0
4.07539E-01,7.80199E+00,-1.40106E-01,0.00000E+00,0,0
3.22459E-01,7.84085E+00,-1.10387E-01,0.00000E+00,0,0
2.55141E-01,7.91513E+00,-7.05746E-02,0.00000E+00,0,0
2.01876E-01,7.98608E+00,-3.35222E-02,0.00000E+00,0,0
